Country,Year,Total Energy Consumption (TWh),Per Capita Energy Use (kWh),Renewable Energy Share (%),Fossil Fuel Dependency (%),Industrial Energy Use (%),Household Energy Use (%),Carbon Emissions (Million Tons),Energy Price Index (USD/kWh),Month,Total Energy Generation (TWh)
Australia,2010,6645.43,30588.55,68.7,40.86,45.8,29.32,704.51,0.43,Dec,6849.57
Australia,2010,5090.54,6954.99,5.37,77.71,25.26,22.43,4194.21,0.16,Jan,5195.15
Australia,2010,1652.65,16881.95,40.8,22.49,32.16,39.77,2755.0,0.39,Jul,1533.64
Australia,2010,4337.67,1170.44,78.17,48.39,40.86,27.01,81.86,0.07,Jun,4484.65
Australia,2010,2644.36,24972.64,29.73,17.13,27.07,39.82,1696.42,0.28,Mar,2593.86
Australia,2010,6825.65,21015.38,57.84,68.06,33.1,35.54,2482.78,0.27,May,6969.78
Australia,2010,828.25,36091.32,57.1,30.55,44.32,10.8,2060.23,0.3,Nov,856.75
Australia,2010,6347.04,43069.96,84.06,39.76,48.79,35.91,1853.41,0.47,Oct,6015.09
Australia,2010,1124.01,15630.37,63.61,29.35,44.08,26.92,1231.63,0.19,Sep,1030.16
Australia,2011,2095.12,3154.86,83.16,64.24,22.5,25.0,1173.66,0.35,Apr,1957.24
Australia,2011,9240.07,29367.78,80.44,44.11,41.5,19.81,1458.72,0.06,Aug,8908.04
Australia,2011,4700.75,25760.21,24.76,41.11,59.7,11.77,3122.95,0.14,Dec,4807.47
Australia,2011,5418.8,25600.45,72.23,31.07,26.56,31.74,2032.03,0.37,Feb,5576.54
Australia,2011,6522.46,46918.13,37.12,25.92,25.69,18.65,512.39,0.36,Jan,5877.02
Australia,2011,7424.23,22583.34,15.19,52.19,53.15,11.26,2667.38,0.12,Jul,7250.59
Australia,2011,1066.34,37910.49,47.65,55.48,27.62,24.73,2518.52,0.28,Jun,1026.47
Australia,2011,6647.26,38947.37,36.58,54.35,40.56,10.44,1144.9,0.25,May,6204.0
Australia,2011,1377.83,4842.9,75.66,70.65,56.01,28.79,2429.16,0.24,Nov,1264.82
Australia,2011,3506.59,14709.3,23.87,19.2,56.47,16.82,3084.46,0.06,Oct,3333.51
Australia,2011,5294.6,17408.36,6.36,36.74,41.81,38.67,360.29,0.05,Sep,5513.99
Australia,2012,4593.0,22000.4,32.87,42.39,49.95,38.42,2560.58,0.4,Apr,4356.37
Australia,2012,7371.03,42634.1,33.69,48.59,28.24,19.36,2734.44,0.06,Aug,7207.53
Australia,2012,4736.18,20757.3,54.28,28.63,24.68,25.9,3644.49,0.08,Dec,4762.01
Australia,2012,5429.56,40340.52,81.88,45.31,32.01,23.75,2458.86,0.24,Feb,5182.76
Australia,2012,8518.59,23166.14,10.85,48.27,42.53,34.63,4249.59,0.13,Jan,8908.46
Australia,2012,7334.55,23825.31,63.87,34.8,32.36,17.4,840.14,0.18,Jul,7659.96
Australia,2012,9051.22,38431.26,87.82,54.24,32.41,35.96,3613.33,0.49,Jun,8487.94
Australia,2012,1948.27,20485.17,22.75,74.91,23.38,35.32,3594.2,0.19,Mar,1898.76
Australia,2012,6710.78,42457.08,36.75,21.2,52.19,24.59,1099.57,0.49,May,6342.57
Australia,2012,2649.92,31328.61,57.99,62.43,29.17,15.07,1684.89,0.34,Nov,2498.15
Australia,2012,184.01,31563.06,66.05,71.39,28.17,35.85,3983.51,0.08,Oct,166.63
Australia,2012,425.85,32785.03,54.72,59.24,37.63,11.02,1475.67,0.34,Sep,422.2
Australia,2013,2332.48,10062.6,45.28,67.97,47.73,27.54,749.65,0.09,Apr,2275.11
Australia,2013,4876.51,11057.7,64.55,55.15,58.27,34.21,4122.39,0.49,Aug,4426.51
Australia,2013,7119.96,47970.85,64.59,45.5,49.69,13.73,736.28,0.2,Dec,6705.56
Australia,2013,8362.5,41469.43,85.38,23.0,40.41,20.94,3224.46,0.39,Feb,8665.56
Australia,2013,5089.26,17223.93,40.45,20.72,49.64,39.71,4533.85,0.08,Jan,4763.21
Australia,2013,2237.08,44821.89,59.89,14.07,40.2,23.83,1826.24,0.46,Jul,2061.99
Australia,2013,9543.63,32137.46,40.21,62.38,55.97,27.6,1791.44,0.43,Jun,9289.94
Australia,2013,1298.38,46082.67,54.33,51.85,22.7,37.04,2383.76,0.45,Mar,1360.5
Australia,2013,5369.12,2938.41,87.44,42.97,48.37,18.57,938.22,0.33,May,5027.15
Australia,2013,9695.5,47183.85,52.38,61.23,20.39,38.69,4892.08,0.44,Nov,9703.45
Australia,2013,4042.74,41150.9,21.48,73.88,50.14,30.65,4950.98,0.06,Oct,4100.32
Australia,2013,3454.93,19777.83,78.55,18.55,25.04,16.67,610.15,0.25,Sep,3232.59
Australia,2014,2065.97,41452.69,78.07,24.47,55.59,34.57,1328.86,0.49,Apr,2085.04
Australia,2014,6897.15,23666.03,15.55,33.65,40.72,36.56,1381.61,0.45,Aug,6587.93
Australia,2014,6320.1,48286.46,36.06,56.51,23.8,35.57,499.66,0.21,Dec,6287.53
Australia,2014,9045.47,48257.89,7.89,55.13,23.47,24.52,2742.12,0.4,Feb,9000.51
Australia,2014,5904.05,11538.51,14.54,57.71,30.24,15.21,3784.09,0.39,Jan,5788.13
Australia,2014,5312.34,27259.64,75.19,20.15,31.53,18.84,2289.58,0.29,Jul,4853.05
Australia,2014,777.69,11510.93,27.4,58.08,52.45,17.85,4641.0,0.08,Jun,797.36
Australia,2014,7877.71,40413.28,15.97,51.74,20.26,36.87,3848.13,0.39,May,7468.99
Australia,2014,1737.87,32871.63,89.16,11.69,44.05,39.04,2191.03,0.19,Nov,1612.7
Australia,2014,2810.6,22042.26,15.08,66.9,23.28,17.35,2501.04,0.41,Oct,2546.73
Australia,2014,8216.83,21485.18,83.11,37.9,24.89,32.26,810.69,0.31,Sep,8123.44
Australia,2015,3162.34,42173.72,28.6,64.98,33.2,17.33,1261.22,0.24,Apr,3167.51
Australia,2015,7824.05,7354.0,55.45,69.44,41.24,16.49,456.82,0.48,Aug,7061.11
Australia,2015,3338.29,38345.3,73.36,27.25,20.05,30.52,1913.35,0.49,Dec,3260.89
Australia,2015,8441.02,4074.97,40.01,31.15,48.72,24.47,4221.14,0.24,Feb,7883.7
Australia,2015,3820.37,31945.33,69.24,18.3,39.01,32.11,3159.01,0.09,Jan,3808.05
Australia,2015,8980.87,24293.88,81.65,63.89,58.25,29.29,4771.51,0.17,Jul,8317.68
Australia,2015,7707.26,8464.72,78.17,25.59,23.61,12.2,1019.84,0.16,Jun,7735.32
Australia,2015,3610.22,24138.76,57.96,54.99,29.55,35.94,725.11,0.28,Mar,3458.63
Australia,2015,2032.42,42719.19,10.57,38.84,45.22,30.66,271.84,0.09,May,2114.75
Australia,2015,1980.97,27364.76,37.47,66.68,58.24,28.22,850.94,0.1,Nov,1823.74
Australia,2015,6625.22,36213.79,55.98,58.04,40.46,36.9,4572.71,0.11,Oct,6301.64
Australia,2015,2481.43,48613.39,47.75,13.5,28.25,38.09,588.42,0.44,Sep,2275.52
Australia,2016,5726.78,3390.42,7.96,63.65,58.25,19.41,2998.63,0.45,Apr,5948.43
Australia,2016,8788.22,8973.69,25.82,14.44,45.4,27.79,1298.45,0.34,Aug,9065.94
Australia,2016,593.48,2725.34,32.14,14.93,44.0,26.54,2200.53,0.21,Dec,557.09
Australia,2016,4226.72,29694.75,61.18,27.42,30.23,31.35,2617.76,0.17,Feb,4222.48
Australia,2016,7622.8,17485.21,15.02,66.62,54.46,10.87,950.63,0.38,Jan,7794.95
Australia,2016,1569.26,14764.5,10.1,33.38,46.96,25.23,1124.72,0.39,Jul,1543.02
Australia,2016,3752.09,39547.32,80.9,20.67,29.48,35.3,2610.79,0.22,Jun,3674.98
Australia,2016,5664.57,24239.63,49.66,58.53,45.52,16.57,1285.34,0.37,Mar,5303.61
Australia,2016,5528.49,42967.02,79.77,68.44,29.19,14.64,4514.37,0.34,May,5052.85
Australia,2016,3119.46,42420.95,12.83,52.11,54.34,15.87,792.7,0.25,Nov,3227.34
Australia,2016,3266.38,22085.0,89.62,61.21,38.6,18.62,370.69,0.13,Oct,3380.91
Australia,2016,7006.58,39071.35,65.56,10.62,22.94,13.22,1581.02,0.2,Sep,6971.3
Australia,2017,9878.29,40231.01,36.21,22.7,34.31,10.36,1847.26,0.44,Apr,9392.82
Australia,2017,4937.57,44524.71,21.52,45.41,38.32,23.16,4935.24,0.27,Aug,4702.45
Australia,2017,8192.73,36234.71,60.29,55.62,42.45,26.06,3830.8,0.28,Dec,8265.59
Australia,2017,6135.99,8345.22,79.3,66.52,38.36,27.74,4616.14,0.33,Feb,6348.09
Australia,2017,4323.59,4478.48,55.38,16.56,39.29,26.16,1777.46,0.43,Jan,4466.54
Australia,2017,8311.06,13961.88,17.04,31.68,37.63,32.76,1771.98,0.42,Jul,8452.19
Australia,2017,1835.68,3049.18,61.11,49.17,27.81,26.78,231.47,0.25,Jun,1828.9
Australia,2017,9384.1,4984.85,34.26,16.07,23.39,13.41,4655.0,0.44,Mar,8564.13
Australia,2017,1990.72,45455.82,52.89,54.62,23.13,35.18,3556.91,0.11,May,1839.91
Australia,2017,3462.55,31052.48,13.6,25.57,33.97,13.13,2825.69,0.18,Nov,3582.99
Australia,2017,6876.99,21380.92,76.5,22.58,58.56,26.51,1911.15,0.3,Oct,6814.85
Australia,2017,4325.28,35346.95,31.02,65.26,42.11,38.45,2180.57,0.46,Sep,3898.72
Australia,2018,7373.08,5181.44,77.67,78.18,54.47,10.57,1512.78,0.13,Apr,6748.0
Australia,2018,7468.38,29553.81,70.36,75.97,24.7,19.6,4700.35,0.08,Aug,7464.83
Australia,2018,8293.94,35184.62,67.77,57.01,54.42,16.28,2099.08,0.07,Dec,7470.84
Australia,2018,8337.41,10496.89,60.8,15.76,23.49,17.86,1060.65,0.48,Feb,7704.78
Australia,2018,4508.66,37964.04,41.16,53.12,37.36,25.06,2917.84,0.12,Jul,4428.9
Australia,2018,3165.37,37360.09,78.02,57.5,38.3,31.02,4173.1,0.29,Jun,3177.35
Australia,2018,4018.13,24420.74,73.56,64.03,52.1,18.93,634.94,0.06,Mar,4009.27
Australia,2018,8303.63,41231.68,80.15,35.15,55.74,36.83,604.85,0.12,May,7752.6
Australia,2018,1060.84,43445.21,52.64,33.14,43.05,19.58,1194.22,0.07,Nov,1068.08
Australia,2018,2678.83,25413.85,39.81,46.01,31.22,22.58,4876.45,0.1,Oct,2506.28
Australia,2018,8841.23,40954.31,43.39,74.12,22.76,10.35,3980.61,0.48,Sep,8388.65
Australia,2019,2586.01,20532.29,42.34,25.23,51.46,14.69,4940.84,0.41,Apr,2616.97
Australia,2019,1429.54,1362.04,27.08,70.64,33.39,14.38,3758.84,0.36,Aug,1425.89
Australia,2019,2409.25,23236.36,26.27,19.02,30.49,18.36,3262.56,0.13,Dec,2475.22
Australia,2019,9017.74,47556.08,34.42,33.61,29.32,31.5,184.91,0.27,Jan,9005.49
Australia,2019,8951.67,38076.5,55.73,57.56,31.94,27.6,3499.93,0.37,Jul,8819.6
Australia,2019,8628.63,22231.72,15.21,28.95,31.77,35.36,4970.38,0.36,Jun,7887.01
Australia,2019,7995.9,11317.04,68.79,11.25,38.78,12.1,2779.7,0.3,Mar,7637.34
Australia,2019,7751.16,1582.25,77.29,25.83,42.33,37.72,888.45,0.08,May,7284.39
Australia,2019,8021.57,2943.03,17.7,10.57,59.85,13.99,2813.84,0.34,Nov,7512.99
Australia,2019,7575.67,32996.67,30.79,56.62,51.7,36.61,3790.5,0.13,Oct,7923.78
Australia,2019,6477.63,33891.1,64.01,33.88,27.94,17.11,3656.97,0.08,Sep,6211.82
Australia,2020,4509.51,20342.73,10.21,75.43,40.62,12.11,82.39,0.2,Apr,4661.96
Australia,2020,9125.66,12267.04,68.77,66.16,39.41,11.21,2216.56,0.06,Aug,9077.03
Australia,2020,5397.56,49636.41,15.64,27.53,44.4,13.72,3110.32,0.35,Dec,5501.31
Australia,2020,9467.12,6465.83,86.77,41.21,47.44,34.81,2315.69,0.27,Feb,9234.19
Australia,2020,2219.75,18158.45,31.14,19.0,40.69,27.93,1366.84,0.38,Jan,2189.86
Australia,2020,7603.58,14126.86,50.43,46.2,48.61,26.09,3169.35,0.38,Jul,7404.96
Australia,2020,5481.05,48613.51,20.01,20.47,23.73,24.06,3500.49,0.22,Jun,5093.47
Australia,2020,5312.5,4082.48,28.54,33.16,48.95,39.64,732.09,0.29,Mar,5356.95
Australia,2020,1519.42,31429.64,14.44,33.83,40.8,29.58,681.6,0.36,May,1431.47
Australia,2020,4548.72,20364.98,77.78,22.81,24.71,24.6,1574.74,0.12,Nov,4110.44
Australia,2020,8725.75,45220.44,48.54,18.32,44.02,39.47,1216.1,0.23,Oct,8698.01
Australia,2020,1789.37,38641.36,61.6,46.74,55.41,25.0,4438.59,0.25,Sep,1657.97
Australia,2021,2710.61,41623.59,73.32,40.76,49.94,11.5,701.89,0.36,Apr,2821.93
Australia,2021,4329.09,25362.21,10.64,18.5,32.67,14.13,2895.02,0.45,Aug,4515.63
Australia,2021,8289.15,37776.62,16.06,77.5,31.64,31.2,4431.29,0.2,Dec,8597.75
Australia,2021,811.8,7800.48,14.05,22.21,43.41,21.15,1709.0,0.38,Feb,775.69
Australia,2021,6804.18,26811.07,63.42,17.29,27.94,18.59,766.74,0.38,Jan,6139.54
Australia,2021,196.75,49970.82,59.69,75.6,21.84,15.69,135.94,0.13,Jul,204.47
Australia,2021,3648.18,4171.41,12.55,22.81,20.25,31.7,3344.63,0.1,Jun,3517.68
Australia,2021,3606.78,35563.18,24.94,33.45,29.62,13.22,4618.22,0.29,Mar,3769.08
Australia,2021,3104.49,25170.82,49.52,23.49,36.21,28.15,2683.1,0.4,May,3242.77
Australia,2021,3291.32,29128.32,45.61,29.26,53.12,34.81,3959.96,0.11,Nov,3383.32
Australia,2021,4001.72,37705.0,30.28,47.82,20.0,28.78,2583.89,0.18,Oct,3778.29
Australia,2021,9038.9,23076.85,13.28,74.0,28.04,33.06,3899.51,0.13,Sep,8657.14
Australia,2022,2445.87,44105.54,53.99,50.48,50.67,36.25,487.96,0.27,Apr,2513.55
Australia,2022,6668.1,19988.06,37.4,38.2,22.95,27.42,1327.12,0.36,Aug,6318.28
Australia,2022,5902.49,25913.01,7.49,62.7,46.62,33.28,4242.34,0.47,Dec,5462.31
Australia,2022,7022.01,46991.02,77.86,78.85,23.36,24.39,3250.84,0.23,Feb,6906.29
Australia,2022,8304.7,19570.08,70.1,20.24,49.7,10.24,4648.32,0.25,Jan,8640.4
Australia,2022,4768.21,1562.04,51.32,11.92,56.71,33.28,2249.88,0.41,Jul,4789.21
Australia,2022,4236.41,4948.59,84.31,76.03,55.56,10.36,4131.63,0.38,Jun,4175.02
Australia,2022,3031.56,40908.74,60.72,28.82,27.5,36.9,2512.62,0.46,Mar,2772.59
Australia,2022,5190.46,24547.91,51.39,69.57,23.57,38.47,2301.1,0.1,May,5150.24
Australia,2022,1017.1,16007.97,28.4,31.32,42.3,10.85,2333.0,0.32,Nov,1066.44
Australia,2022,9322.91,30752.15,89.36,25.05,26.0,28.97,1705.63,0.33,Oct,8586.52
Australia,2022,6118.01,48534.94,53.12,20.81,53.36,13.2,4041.91,0.34,Sep,5981.88
Australia,2023,8449.58,13561.31,13.06,11.55,32.74,29.05,1405.46,0.07,Apr,8716.64
Australia,2023,7781.03,30000.55,82.22,47.59,49.98,35.8,1634.79,0.47,Aug,7867.52
Australia,2023,368.13,13035.54,87.57,10.23,51.44,20.21,3210.51,0.11,Dec,369.81
Australia,2023,428.64,34041.11,12.48,71.32,22.26,34.98,359.29,0.46,Feb,430.94
Australia,2023,9226.7,12158.07,87.16,29.7,54.36,23.95,4842.5,0.23,Jan,8801.57
Australia,2023,1207.41,3301.25,35.62,69.77,20.35,26.48,3484.9,0.24,Jul,1139.84
Australia,2023,8367.75,35590.78,49.7,31.04,46.48,27.69,4313.7,0.44,Jun,8546.85
Australia,2023,4323.03,31219.83,70.65,61.73,53.12,26.17,2129.37,0.11,Mar,4416.05
